"No.","Time","Source","Destination","Protocol","Length","Info"
"7878","44.914562","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7879","44.914562","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7880","44.914562","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7881","44.914753","10.18.110.249","103.144.182.237","QUIC","76","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"7882","44.915177","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7883","44.917289","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7884","44.917289","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7885","44.917289","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7886","44.917289","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7887","44.917712","10.18.110.249","103.144.182.237","QUIC","75","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"7888","44.920583","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7889","44.920583","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7890","44.920583","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7891","44.924752","10.18.110.249","103.144.182.237","QUIC","76","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"7892","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7893","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7894","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7895","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7896","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7897","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7898","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7899","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7900","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7901","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7902","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7903","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7904","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7905","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7906","44.929581","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7907","44.930361","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7908","44.930361","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7909","44.930361","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7910","44.930361","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7911","44.930538","10.18.110.249","103.144.182.237","QUIC","75","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"7912","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7913","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7914","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7915","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7916","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7917","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7918","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7919","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7920","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7921","44.932452","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7922","44.933126","10.18.110.249","103.144.182.237","QUIC","75","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"7923","44.940171","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"7924","44.940171","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
